State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
OH,83640.79,87470.27,92356.16,97158.16,102138.51,106897.41,111502.15,117763.29,121627.34,126170.29,130139.86,129957.66,124502.62,119371.35,118690.87,114215.64,115109.43,118472.8,123731.69,128456.09,133260.47,140995.76,150323.47,157371.27
OK,46506.62,48429.2,51259.44,54706.24,58362.03,61092.27,63403.64,65853.04,68014.9,71791.67,76700.83,80574.28,82517.05,82333.06,82518.73,81191.94,81680.19,82540.56,83242.66,85420.25,92208.07,97196.63,103844.7,108501.9
OR,109095.67,114651.2,118340.34,122920.79,127705.77,133238.92,138623.08,149749.73,164008.1,197472.34,240524.86,252168.82,239623.4,216938.19,201474.91,184328.21,184081.27,195864.42,214812.5,232306.0,258285.46,282282.55,304794.6,319586.33
PA,87555.7,89633.26,93389.38,98410.1,104250.24,111041.2,119201.6,131246.03,143727.91,158423.88,172090.08,175400.4,171785.84,165659.44,163532.02,157089.31,154854.98,158203.86,161578.61,165856.89,170375.18,176734.74,185902.64,191246.96
RI,128772.5,130495.23,135541.46,145612.71,162806.04,187471.25,224875.62,270541.25,312806.46,347991.67,354006.04,337662.29,306916.25,278253.75,272950.83,257031.46,253180.42,256028.12,264646.04,272002.71,289821.14,308900.62,330670.0,340101.56
SC,71674.87,77349.19,83939.88,92193.7,100126.39,105261.95,109265.82,114620.29,123952.23,139398.81,155516.57,163519.2,159528.82,149199.11,142211.11,133546.78,132181.85,134212.15,140109.13,144298.07,153445.29,163920.83,176769.84,185205.95
SD,37891.81,39519.14,43163.6,51574.56,59003.95,62910.53,67530.7,103768.42,114702.63,121678.95,134891.23,139667.98,143208.77,142188.6,143310.09,141951.32,144405.7,148740.79,160002.63,168506.58,176281.82,185264.04,197284.21,208098.68
TN,59353.2,62610.46,66505.31,70291.06,73163.62,75620.56,78199.55,81467.59,86589.72,95918.03,104214.65,110000.02,107966.22,105073.61,103577.31,100557.08,100647.45,102920.72,106817.59,112236.96,120041.06,129001.08,140178.85,148152.02
TX,101019.92,102903.29,106772.43,111366.67,115162.2,115814.73,116750.36,118945.54,125482.93,132694.65,138219.1,144264.88,143331.24,139535.6,139807.21,137945.72,138578.2,143662.96,151470.11,161552.77,174867.91,187287.04,200080.58,209132.05
UT,151991.67,154964.62,158206.25,161190.35,167876.87,172572.64,172476.67,172577.22,175206.74,182930.35,205453.13,238854.93,249405.14,233686.67,224438.85,210096.94,207598.4,221696.67,234704.03,243891.39,262670.0,285799.44,318560.83,345116.46
VA,93615.66,97027.38,103196.92,110348.01,119640.0,131461.64,144069.09,159872.12,183593.74,229823.86,246617.58,242363.18,223153.86,207780.43,204181.3,196193.74,198292.75,204207.73,210686.69,214658.66,220537.36,228906.67,239060.15,246276.17
VT,88719.12,90739.32,96490.21,103573.74,111699.13,120508.82,131271.9,144069.77,159451.74,181460.17,195212.4,199567.44,194495.16,188010.17,195798.16,192572.77,192906.98,194714.92,198081.4,199739.63,201581.08,209291.76,215390.5,222513.52
WA,133983.41,139105.59,146742.42,154486.33,162695.08,169848.77,177528.24,187702.94,205234.23,238173.98,278785.88,297449.43,284696.4,257747.9,243198.35,225209.05,221250.06,236141.04,253389.93,273811.15,306467.5,342540.29,375204.29,393098.25
WI,108541.35,109159.34,111476.19,117253.43,124435.5,132635.19,141826.11,151012.6,157206.7,161685.1,169315.78,171816.43,167836.32,161540.5,157621.7,151059.04,150392.04,154062.62,158481.18,164574.42,174287.51,185215.16,196858.52,206379.4
WV,41142.31,42898.25,45007.53,46312.82,47613.14,49732.85,52127.32,54998.96,65705.21,84053.61,92579.57,95448.0,93814.5,91011.3,94377.23,93502.88,94660.1,97411.7,100127.24,103722.36,106108.92,107727.48,112051.68,114920.19
WY,119541.78,118196.36,113750.0,112271.33,116733.0,124072.67,128159.0,133775.33,148540.67,136658.67,139403.33,175088.0,174515.0,164626.67,180590.4,180580.67,183443.33,187780.67,193274.0,200510.0,206798.55,207563.33,217619.33,223071.0
