i,RegionName,State,Metro,CountyName,SizeRank,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
38025,Corpus Christi,TX,Corpus Christi,Nueces County,67,69722.22222,70909.09091,80083.33333,83800,87041.66667,87333.33333,86016.66667,89625,95241.66667,106275,112675,122041.6667,124066.6667,118325,115466.6667,111266.6667,113133.3333,117841.6667,121241.6667,128691.6667,136209.0909,141825,146550,148600
6891,Saint Louis,MO,St. Louis,Saint Louis City,68,47866.66667,55336.36364,58400,61741.66667,66350,75400,82666.66667,93700,104291.6667,114191.6667,123125,126408.3333,126533.3333,118933.3333,117908.3333,107716.6667,104191.6667,103275,95916.66667,98741.66667,108045.4545,113250,118308.3333,118200
11722,Greensboro,NC,Greensboro-High Point,Guilford County,69,97577.77778,95281.81818,97758.33333,102266.6667,108375,111208.3333,113541.6667,115966.6667,119458.3333,123200,126883.3333,128841.6667,126925,121008.3333,118433.3333,114050,110933.3333,110425,113508.3333,115883.3333,121936.3636,129108.3333,135975,144025
25574,Lexington,KY,Lexington-Fayette,Fayette County,70,93744.44444,98154.54545,99883.33333,101591.6667,115758.3333,121416.6667,125491.6667,130908.3333,138075,140866.6667,149366.6667,146258.3333,143825,142616.6667,141941.6667,139133.3333,138391.6667,139416.6667,140533.3333,146358.3333,156290.9091,166150,176383.3333,184237.5
18170,Fort Wayne,IN,Fort Wayne,Allen County,71,57000,66309.09091,71650,80866.66667,87241.66667,94091.66667,96125,96741.66667,99616.66667,102341.6667,104850,104308.3333,103008.3333,100441.6667,98625,97766.66667,96500,98133.33333,99025,100625,105581.8182,114041.6667,124533.3333,134437.5
7081,Silver Spring,MD,Washington-Arlington-Alexandria,Montgomery County,72,158666.6667,158136.3636,161958.3333,170100,183116.6667,206708.3333,247741.6667,291008.3333,345050,411658.3333,444533.3333,438608.3333,384908.3333,340116.6667,328566.6667,315558.3333,317641.6667,338075,358725,364250,372945.4545,384775,402408.3333,410475
34303,Toledo,OH,Toledo,Lucas County,73,57855.55556,59918.18182,63800,68408.33333,73958.33333,78158.33333,82475,86216.66667,89108.33333,90800,90283.33333,87058.33333,79925,70125,64716.66667,56391.66667,52250,52616.66667,55616.66667,58066.66667,58672.72727,63041.66667,67766.66667,70362.5
23482,Anchorage,AK,Anchorage,Anchorage Borough,74,126955.5556,132727.2727,141000,154475,157875,184041.6667,201141.6667,211316.6667,227258.3333,254908.3333,274691.6667,289416.6667,296900,304583.3333,306500,306708.3333,307683.3333,318775,325391.6667,333808.3333,339727.2727,337491.6667,338683.3333,336675
20313,Saint Paul,MN,Minneapolis-St. Paul-Bloomington,Ramsey County,75,77988.88889,80854.54545,86816.66667,98808.33333,117700,136566.6667,154258.3333,171191.6667,183825,197025,201558.3333,198191.6667,176750,157866.6667,149341.6667,132266.6667,126258.3333,139433.3333,157033.3333,167725,179318.1818,196316.6667,210441.6667,221187.5
19533,Naples,FL,Naples-Immokalee-Marco Island,Collier County,76,129566.6667,134418.1818,144416.6667,154550,168175,183516.6667,201741.6667,223958.3333,261208.3333,368525,425100,365633.3333,284991.6667,229258.3333,212841.6667,202900,207483.3333,221850,247158.3333,277850,299345.4545,308850,320291.6667,323500
24457,Durham,NC,Durham-Chapel Hill,Durham County,77,108455.5556,120009.0909,123266.6667,128583.3333,132516.6667,136625,142408.3333,145175,148408.3333,153116.6667,157741.6667,162416.6667,161350,159041.6667,158166.6667,151583.3333,148891.6667,153516.6667,158058.3333,164716.6667,178200,193200,213641.6667,229175
47945,Tallahassee,FL,Tallahassee,Leon County,78,85433.33333,88036.36364,88875,88241.66667,94250,105308.3333,115616.6667,128650,145283.3333,171166.6667,190741.6667,189983.3333,177291.6667,163300,155050,141066.6667,138150,143366.6667,148500,150383.3333,157927.2727,164908.3333,174958.3333,183687.5
7266,Stockton,CA,Stockton-Lodi,San Joaquin County,79,109033.3333,106600,111566.6667,118216.6667,135050,167416.6667,189958.3333,220150,266725,349550,371516.6667,314216.6667,204016.6667,141075,132875,129441.6667,130625,155133.3333,182141.6667,207541.6667,233018.1818,260683.3333,287700,302762.5
53915,Plano,TX,Dallas-Fort Worth-Arlington,Collin County,80,187644.4444,186836.3636,185516.6667,186658.3333,187791.6667,183975,182558.3333,184200,191433.3333,199391.6667,204866.6667,207450,204375,202758.3333,203491.6667,200100,204708.3333,213741.6667,230425,254675,283963.6364,310233.3333,331266.6667,337625
12970,Newark,NJ,New York-Newark-Jersey City,Essex County,81,96555.55556,99636.36364,116108.3333,118258.3333,125941.6667,138066.6667,152750,174575,211175,262075,308891.6667,328716.6667,312750,251291.6667,199533.3333,176283.3333,160550,154350,154233.3333,157233.3333,162054.5455,178891.6667,235908.3333,261712.5
11867,Henderson,NV,Las Vegas-Henderson-Paradise,Clark County,82,143255.5556,143954.5455,147433.3333,152866.6667,162108.3333,173458.3333,187525,207400,291516.6667,352225,356950,326791.6667,261083.3333,203858.3333,181816.6667,161641.6667,161258.3333,193350,225075,243183.3333,260009.0909,282325,314216.6667,330487.5
32503,Lincoln,NE,Lincoln,Lancaster County,83,86122.22222,89990.90909,87083.33333,89116.66667,94716.66667,101800,108525,114766.6667,121575,127833.3333,130591.6667,132441.6667,131533.3333,131608.3333,132175,129683.3333,131208.3333,134408.3333,139691.6667,147550,155954.5455,164491.6667,174700,183200
25934,Modesto,CA,Modesto,Stanislaus County,84,103933.3333,104845.4545,108883.3333,114966.6667,129400,157925,178591.6667,209608.3333,254975,327150,345608.3333,295708.3333,201258.3333,147166.6667,137941.6667,127333.3333,131441.6667,160458.3333,193550,215633.3333,239181.8182,263250,286558.3333,297837.5
13478,Reno,NV,Reno,Washoe County,85,152611.1111,155872.7273,158150,161125,168333.3333,175441.6667,188575,214450,269925,339333.3333,350158.3333,314975,264441.6667,213900,190058.3333,164291.6667,162691.6667,198025,230708.3333,261025,297790.9091,324308.3333,354191.6667,371712.5
20604,Spokane,WA,Spokane-Spokane Valley,Spokane County,86,87366.66667,85745.45455,87933.33333,91391.66667,91625,93125,96991.66667,100608.3333,109400,127700,148191.6667,159991.6667,156808.3333,149900,143441.6667,131975,129566.6667,132816.6667,136975,143566.6667,154863.6364,174266.6667,195216.6667,213900
17384,Chandler,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,87,128377.7778,134272.7273,141933.3333,148183.3333,155275,163150,170291.6667,177008.3333,194708.3333,277191.6667,323600,294925,243608.3333,205383.3333,191491.6667,171108.3333,187983.3333,225383.3333,241208.3333,252525,268154.5455,281508.3333,301191.6667,318462.5
53060,Lubbock,TX,Lubbock,Lubbock County,88,64188.88889,64963.63636,64500,69158.33333,73458.33333,76116.66667,77825,81166.66667,83641.66667,87408.33333,94166.66667,100950,98825,98191.66667,97350,96058.33333,95383.33333,99000,106141.6667,111283.3333,121009.0909,128941.6667,133066.6667,135937.5
